"ccaa","semana","anno","pob04","pob514","pob1544","pob4564","pob65"
"09",40,2021,6220,15943,19135,15326,9915
"09",41,2021,5312,13587,16291,13080,8484
"09",42,2021,6183,15851,19011,15269,9908
"09",43,2021,6190,15832,19014,15277,9911
"09",44,2021,5305,13579,16295,13108,8495
"09",45,2021,6742,17587,18358,14863,9589
"09",46,2021,6821,17987,18344,14860,9595
"09",47,2021,6817,17996,18355,14858,9603
"09",48,2021,6819,17977,18340,14866,9608
"09",49,2021,4868,12832,13107,10626,6862
"09",50,2021,6808,17960,18351,14873,9607
"09",51,2021,6800,17957,18349,14871,9611
