ccaa;semana;anno;pob04;pob514;pob1544;pob4564;pob65
9;40;2020;5450;14270;18428;13825;8991
9;41;2020;5450;14270;18428;13825;8991
9;42;2020;5450;14270;18428;13825;8991
9;43;2020;5450;14270;18428;13825;8991
9;44;2020;5441;14262;18431;13841;8998
9;45;2020;5438;14268;18402;13848;8995
9;46;2020;5443;14266;18386;13854;8997
9;47;2020;5436;14248;18334;13816;8982
9;48;2020;5425;14242;18328;13817;8988
9;49;2020;5426;14235;18311;13821;8987
9;50;2020;4641;12199;15693;11845;7705
9;51;2020;5411;14246;18273;13831;9002
9;52;2020;4617;12147;15557;11809;7698
9;53;2020;4601;12147;15544;11823;7707
9;1;2021;4594;12156;15702;12164;7794
9;2;2021;5376;14155;18325;14204;9090
9;3;2021;5379;14146;18306;14211;9091
9;4;2021;5374;14132;18300;14225;9100
9;5;2021;6221;15726;18992;14944;9606
9;6;2021;6225;15721;18977;14938;9608
9;7;2021;6234;15715;18972;14935;9618
9;8;2021;6237;15689;18958;14934;9634
9;9;2021;6222;15696;18952;14934;9634
9;10;2021;6236;15686;18946;14951;9642
9;11;2021;6234;15697;18920;14958;9647
9;12;2021;6246;15698;18898;14964;9654
9;13;2021;5349;13462;16193;12838;8281
9;14;2021;5325;13467;16202;12848;8277
9;15;2021;6213;15729;18881;15007;9648
9;16;2021;6202;15736;18888;15008;9649
9;17;2021;6204;15725;18896;15009;9639
9;18;2021;6223;15730;18884;15027;9638
9;19;2021;6242;15725;18907;15027;9636
9;20;2021;5340;13477;16189;12873;8268
9;21;2021;6233;15712;18873;15030;9647
9;22;2021;6249;15715;18876;15041;9641
9;23;2021;6256;15720;18864;15045;9640
9;24;2021;6251;15726;18877;15034;9625
9;25;2021;5339;13495;16188;12887;8251
9;26;2021;6220;15731;18913;15042;9631
9;27;2021;6212;15720;18925;15049;9625
9;28;2021;6212;15725;18936;15057;9631
9;29;2021;6202;15730;18945;15051;9626
9;30;2021;6185;15738;18990;15069;9625
9;31;2021;6173;15744;19030;15076;9627
9;32;2021;6154;15761;19048;15080;9639
9;33;2021;6138;15779;19081;15084;9651
9;34;2021;6128;15745;19109;15100;9669
9;35;2021;6126;15760;19128;15117;9673
9;36;2021;6110;15774;19165;15122;9672
9;37;2021;6113;15759;19169;15144;9682
9;38;2021;6107;15759;19180;15155;9696
9;39;2021;6106;15751;19107;15088;9643
